Child	Corpus	Role	Train_size	Test_size	Size_ratio	Age	Sent_len	DL	UAS_Accuracy	LAS_Accuracy
Abe	Kuczaj	child	117479	1386	84.76118326118326	60.13265159448859	2	3.0	1.0	1.0
Abe	Kuczaj	child	117479	1386	84.76118326118326	60.13265159448859	6	4.2	1.0	1.0
Abe	Kuczaj	child	117479	1386	84.76118326118326	60.13265159448859	4	3.3333333333333335	1.0	1.0
Abe	Kuczaj	child	117479	1386	84.76118326118326	60.13265159448859	2	2.0	1.0	1.0
Abe	Kuczaj	child	117479	1386	84.76118326118326	60.13265159448859	12	3.272727272727273	1.0	1.0
Abe	Kuczaj	child	117479	1386	84.76118326118326	60.13265159448859	7	2.6666666666666665	0.8571428571428571	0.8571428571428571
Abe	Kuczaj	child	117479	1386	84.76118326118326	60.13265159448859	9	2.25	1.0	1.0
Abe	Kuczaj	child	117479	1386	84.76118326118326	60.13265159448859	4	2.3333333333333335	1.0	1.0
Abe	Kuczaj	child	117479	1386	84.76118326118326	60.13265159448859	5	2.75	1.0	1.0
Abe	Kuczaj	child	117479	1386	84.76118326118326	60.13265159448859	2	2.0	0.0	0.0
Abe	Kuczaj	child	117479	1386	84.76118326118326	60.13265159448859	5	2.25	1.0	1.0
Abe	Kuczaj	child	117479	1386	84.76118326118326	60.13265159448859	2	2.0	1.0	1.0
Abe	Kuczaj	child	117479	1386	84.76118326118326	60.13265159448859	2	2.0	1.0	1.0
Abe	Kuczaj	child	117479	1386	84.76118326118326	60.13265159448859	8	2.4285714285714284	1.0	1.0
Abe	Kuczaj	child	117479	1386	84.76118326118326	60.13265159448859	7	2.6666666666666665	1.0	1.0
Abe	Kuczaj	child	117479	1386	84.76118326118326	60.13265159448859	7	2.6666666666666665	1.0	1.0
Abe	Kuczaj	child	117479	1386	84.76118326118326	60.13265159448859	7	3.6666666666666665	1.0	1.0
Abe	Kuczaj	child	117479	1386	84.76118326118326	60.13265159448859	8	3.0	1.0	1.0
Abe	Kuczaj	child	117479	1386	84.76118326118326	60.13265159448859	5	3.75	1.0	1.0
Abe	Kuczaj	child	117479	1386	84.76118326118326	60.13265159448859	8	2.7142857142857144	1.0	1.0
Abe	Kuczaj	child	117479	1386	84.76118326118326	60.13265159448859	10	2.4444444444444446	1.0	1.0
Abe	Kuczaj	child	117479	1386	84.76118326118326	60.13265159448859	9	2.0	1.0	1.0
Abe	Kuczaj	child	117479	1386	84.76118326118326	60.13265159448859	6	2.6	1.0	1.0
Abe	Kuczaj	child	117479	1386	84.76118326118326	60.13265159448859	9	3.875	1.0	1.0
Abe	Kuczaj	child	117479	1386	84.76118326118326	60.13265159448859	9	2.25	1.0	1.0
Abe	Kuczaj	child	117479	1386	84.76118326118326	60.13265159448859	4	2.0	1.0	1.0
Abe	Kuczaj	child	117479	1386	84.76118326118326	60.13265159448859	2	3.0	1.0	1.0
Abe	Kuczaj	child	117479	1386	84.76118326118326	60.13265159448859	8	2.0	0.875	0.875
Abe	Kuczaj	child	117479	1386	84.76118326118326	60.13265159448859	7	2.0	0.8571428571428571	0.7142857142857143
Abe	Kuczaj	child	117479	1386	84.76118326118326	60.13265159448859	6	1.8	0.8333333333333334	0.5
Abe	Kuczaj	child	117479	1386	84.76118326118326	60.13265159448859	4	2.0	0.75	0.5
Abe	Kuczaj	child	117479	1386	84.76118326118326	60.13265159448859	9	2.375	1.0	1.0
Abe	Kuczaj	child	117479	1386	84.76118326118326	60.13265159448859	3	2.0	1.0	1.0
Abe	Kuczaj	child	117479	1386	84.76118326118326	60.13265159448859	4	3.3333333333333335	1.0	1.0
Abe	Kuczaj	child	117479	1386	84.76118326118326	60.13265159448859	8	2.857142857142857	1.0	1.0
Abe	Kuczaj	child	117479	1386	84.76118326118326	60.13265159448859	5	2.75	1.0	1.0
Abe	Kuczaj	child	117479	1386	84.76118326118326	60.13265159448859	2	3.0	1.0	1.0
Abe	Kuczaj	child	117479	1386	84.76118326118326	60.13265159448859	4	2.0	1.0	1.0
Abe	Kuczaj	child	117479	1386	84.76118326118326	60.13265159448859	3	1.5	1.0	1.0
Abe	Kuczaj	child	117479	1386	84.76118326118326	60.13265159448859	7	2.3333333333333335	1.0	1.0
Abe	Kuczaj	child	117479	1386	84.76118326118326	60.13265159448859	3	3.0	1.0	1.0
Abe	Kuczaj	child	117479	1386	84.76118326118326	60.13265159448859	4	2.0	1.0	1.0
Abe	Kuczaj	child	117479	1386	84.76118326118326	60.13265159448859	7	4.666666666666667	1.0	1.0
Abe	Kuczaj	child	117479	1386	84.76118326118326	60.13265159448859	7	2.0	1.0	1.0
Abe	Kuczaj	child	117479	1386	84.76118326118326	60.13265159448859	10	1.8888888888888888	1.0	1.0
Abe	Kuczaj	child	117479	1386	84.76118326118326	60.13265159448859	4	2.3333333333333335	1.0	1.0
Abe	Kuczaj	child	117479	1386	84.76118326118326	60.13265159448859	3	2.0	1.0	1.0
Abe	Kuczaj	child	117479	1386	84.76118326118326	60.13265159448859	7	2.5	1.0	1.0
Abe	Kuczaj	child	117479	1386	84.76118326118326	60.13265159448859	8	1.7142857142857142	1.0	0.875
Abe	Kuczaj	child	117479	1386	84.76118326118326	60.13265159448859	6	2.4	1.0	1.0
Abe	Kuczaj	child	117479	1386	84.76118326118326	60.13265159448859	11	2.2	0.6363636363636364	0.6363636363636364
Abe	Kuczaj	child	117479	1386	84.76118326118326	60.13265159448859	7	2.6666666666666665	1.0	1.0
Abe	Kuczaj	child	117479	1386	84.76118326118326	60.13265159448859	8	3.0	1.0	1.0
Abe	Kuczaj	child	117479	1386	84.76118326118326	60.13265159448859	2	3.0	1.0	1.0
Abe	Kuczaj	child	117479	1386	84.76118326118326	60.13265159448859	8	2.5714285714285716	1.0	1.0
Abe	Kuczaj	child	117479	1386	84.76118326118326	60.13265159448859	12	2.5454545454545454	1.0	0.9166666666666666
Abe	Kuczaj	child	117479	1386	84.76118326118326	60.36263578307562	11	2.6	1.0	0.9090909090909091
Abe	Kuczaj	child	117479	1386	84.76118326118326	60.36263578307562	5	2.25	1.0	1.0
Abe	Kuczaj	child	117479	1386	84.76118326118326	60.13265159448859	5	2.75	1.0	1.0
Abe	Kuczaj	child	117479	1386	84.76118326118326	60.13265159448859	6	2.6	0.8333333333333334	0.8333333333333334
Abe	Kuczaj	child	117479	1386	84.76118326118326	60.36263578307562	4	2.3333333333333335	1.0	1.0
Abe	Kuczaj	child	117479	1386	84.76118326118326	60.13265159448859	5	2.25	0.4	0.4
Abe	Kuczaj	child	117479	1386	84.76118326118326	60.36263578307562	2	3.0	1.0	1.0
Abe	Kuczaj	child	117479	1386	84.76118326118326	60.13265159448859	3	3.0	1.0	1.0
Abe	Kuczaj	child	117479	1386	84.76118326118326	60.13265159448859	5	3.75	1.0	1.0
Abe	Kuczaj	child	117479	1386	84.76118326118326	60.13265159448859	3	2.0	1.0	1.0
Abe	Kuczaj	child	117479	1386	84.76118326118326	60.36263578307562	5	2.75	1.0	1.0
Abe	Kuczaj	child	117479	1386	84.76118326118326	60.13265159448859	4	2.3333333333333335	1.0	1.0
Abe	Kuczaj	child	117479	1386	84.76118326118326	60.13265159448859	7	2.0	1.0	1.0
Abe	Kuczaj	child	117479	1386	84.76118326118326	60.36263578307562	11	2.0	1.0	0.9090909090909091
Abe	Kuczaj	child	117479	1386	84.76118326118326	60.13265159448859	6	2.0	1.0	1.0
Abe	Kuczaj	child	117479	1386	84.76118326118326	60.13265159448859	8	1.8571428571428572	1.0	0.875
Abe	Kuczaj	child	117479	1386	84.76118326118326	60.36263578307562	6	2.4	1.0	1.0
Abe	Kuczaj	child	117479	1386	84.76118326118326	60.13265159448859	7	2.6666666666666665	1.0	1.0
Abe	Kuczaj	child	117479	1386	84.76118326118326	60.36263578307562	4	2.3333333333333335	1.0	1.0
Abe	Kuczaj	child	117479	1386	84.76118326118326	60.13265159448859	4	2.6666666666666665	0.5	0.5
Abe	Kuczaj	child	117479	1386	84.76118326118326	60.36263578307562	4	2.3333333333333335	1.0	1.0
Abe	Kuczaj	child	117479	1386	84.76118326118326	60.13265159448859	8	5.142857142857143	1.0	1.0
Abe	Kuczaj	child	117479	1386	84.76118326118326	60.36263578307562	3	3.0	1.0	1.0
Abe	Kuczaj	child	117479	1386	84.76118326118326	60.13265159448859	5	2.0	1.0	1.0
Abe	Kuczaj	child	117479	1386	84.76118326118326	60.36263578307562	10	2.2222222222222223	0.9	0.9
Abe	Kuczaj	child	117479	1386	84.76118326118326	60.36263578307562	4	3.3333333333333335	1.0	1.0
Abe	Kuczaj	child	117479	1386	84.76118326118326	60.13265159448859	5	2.75	1.0	0.8
Abe	Kuczaj	child	117479	1386	84.76118326118326	60.13265159448859	4	2.0	1.0	1.0
Abe	Kuczaj	child	117479	1386	84.76118326118326	60.13265159448859	5	2.0	1.0	1.0
Abe	Kuczaj	child	117479	1386	84.76118326118326	60.36263578307562	5	2.25	1.0	1.0
Abe	Kuczaj	child	117479	1386	84.76118326118326	60.36263578307562	4	2.0	1.0	1.0
Abe	Kuczaj	child	117479	1386	84.76118326118326	60.36263578307562	4	2.3333333333333335	1.0	1.0
Abe	Kuczaj	child	117479	1386	84.76118326118326	60.13265159448859	4	2.0	1.0	1.0
Abe	Kuczaj	child	117479	1386	84.76118326118326	60.13265159448859	5	3.75	1.0	1.0
Abe	Kuczaj	child	117479	1386	84.76118326118326	60.36263578307562	8	2.7142857142857144	1.0	1.0
Abe	Kuczaj	child	117479	1386	84.76118326118326	60.13265159448859	4	3.3333333333333335	1.0	1.0
Abe	Kuczaj	child	117479	1386	84.76118326118326	60.36263578307562	6	2.4	1.0	1.0
Abe	Kuczaj	child	117479	1386	84.76118326118326	60.13265159448859	7	2.3333333333333335	1.0	1.0
Abe	Kuczaj	child	117479	1386	84.76118326118326	60.13265159448859	8	2.857142857142857	1.0	1.0
Abe	Kuczaj	child	117479	1386	84.76118326118326	60.36263578307562	8	2.142857142857143	0.75	0.75
Abe	Kuczaj	child	117479	1386	84.76118326118326	60.36263578307562	4	2.0	1.0	0.75
Abe	Kuczaj	child	117479	1386	84.76118326118326	60.36263578307562	5	2.0	1.0	1.0
Abe	Kuczaj	child	117479	1386	84.76118326118326	60.13265159448859	5	2.25	1.0	1.0
Abe	Kuczaj	child	117479	1386	84.76118326118326	60.13265159448859	10	3.2222222222222223	0.8	0.8
Abe	Kuczaj	child	117479	1386	84.76118326118326	60.36263578307562	6	2.8	1.0	0.8333333333333334
Abe	Kuczaj	child	117479	1386	84.76118326118326	60.36263578307562	6	2.6	1.0	1.0
Abe	Kuczaj	child	117479	1386	84.76118326118326	60.13265159448859	6	2.6	1.0	1.0
Abe	Kuczaj	child	117479	1386	84.76118326118326	60.36263578307562	4	3.3333333333333335	1.0	1.0
Abe	Kuczaj	child	117479	1386	84.76118326118326	60.13265159448859	6	2.6	1.0	1.0
Abe	Kuczaj	child	117479	1386	84.76118326118326	60.36263578307562	10	2.5555555555555554	1.0	1.0
Abe	Kuczaj	child	117479	1386	84.76118326118326	60.13265159448859	9	2.125	1.0	1.0
Abe	Kuczaj	child	117479	1386	84.76118326118326	60.36263578307562	11	2.6	0.9090909090909091	0.9090909090909091
Abe	Kuczaj	child	117479	1386	84.76118326118326	60.13265159448859	6	3.2	1.0	1.0
Abe	Kuczaj	child	117479	1386	84.76118326118326	60.13265159448859	3	3.0	1.0	1.0
Abe	Kuczaj	child	117479	1386	84.76118326118326	60.13265159448859	14	2.6923076923076925	0.9285714285714286	0.9285714285714286
Abe	Kuczaj	child	117479	1386	84.76118326118326	60.36263578307562	7	2.3333333333333335	1.0	1.0
Abe	Kuczaj	child	117479	1386	84.76118326118326	60.13265159448859	6	2.0	1.0	1.0
Abe	Kuczaj	child	117479	1386	84.76118326118326	60.36263578307562	8	3.0	1.0	1.0
Abe	Kuczaj	child	117479	1386	84.76118326118326	60.13265159448859	6	2.6	1.0	1.0
Abe	Kuczaj	child	117479	1386	84.76118326118326	60.36263578307562	3	2.0	1.0	1.0
Abe	Kuczaj	child	117479	1386	84.76118326118326	60.13265159448859	6	1.8	1.0	1.0
Abe	Kuczaj	child	117479	1386	84.76118326118326	60.36263578307562	5	2.75	1.0	1.0
Abe	Kuczaj	child	117479	1386	84.76118326118326	60.13265159448859	9	2.875	1.0	0.8888888888888888
Abe	Kuczaj	child	117479	1386	84.76118326118326	60.13265159448859	15	2.9285714285714284	0.9333333333333333	0.8666666666666667
Abe	Kuczaj	child	117479	1386	84.76118326118326	60.36263578307562	2	3.0	1.0	1.0
Abe	Kuczaj	child	117479	1386	84.76118326118326	60.13265159448859	7	2.1666666666666665	0.7142857142857143	0.7142857142857143
Abe	Kuczaj	child	117479	1386	84.76118326118326	60.36263578307562	2	3.0	1.0	1.0
Abe	Kuczaj	child	117479	1386	84.76118326118326	60.13265159448859	5	2.25	1.0	1.0
Abe	Kuczaj	child	117479	1386	84.76118326118326	60.36263578307562	4	2.0	1.0	1.0
Abe	Kuczaj	child	117479	1386	84.76118326118326	60.13265159448859	4	2.3333333333333335	1.0	1.0
Abe	Kuczaj	child	117479	1386	84.76118326118326	60.13265159448859	6	2.0	1.0	0.8333333333333334
Abe	Kuczaj	child	117479	1386	84.76118326118326	60.36263578307562	6	3.6	1.0	1.0
Abe	Kuczaj	child	117479	1386	84.76118326118326	60.13265159448859	2	3.0	1.0	1.0
Abe	Kuczaj	child	117479	1386	84.76118326118326	60.36263578307562	8	2.5714285714285716	1.0	0.875
Abe	Kuczaj	child	117479	1386	84.76118326118326	60.13265159448859	6	3.0	1.0	1.0
Abe	Kuczaj	child	117479	1386	84.76118326118326	60.13265159448859	5	2.25	1.0	0.8
Abe	Kuczaj	child	117479	1386	84.76118326118326	60.13265159448859	7	2.3333333333333335	1.0	1.0
Abe	Kuczaj	child	117479	1386	84.76118326118326	60.36263578307562	5	2.25	1.0	1.0
Abe	Kuczaj	child	117479	1386	84.76118326118326	60.36263578307562	6	2.6	1.0	1.0
Abe	Kuczaj	child	117479	1386	84.76118326118326	60.36263578307562	4	3.3333333333333335	1.0	1.0
Abe	Kuczaj	child	117479	1386	84.76118326118326	60.36263578307562	8	2.4285714285714284	1.0	1.0
Abe	Kuczaj	child	117479	1386	84.76118326118326	60.13265159448859	7	3.0	1.0	1.0
Abe	Kuczaj	child	117479	1386	84.76118326118326	60.36263578307562	7	2.0	1.0	0.8571428571428571
Abe	Kuczaj	child	117479	1386	84.76118326118326	60.13265159448859	14	2.5384615384615383	1.0	1.0
Abe	Kuczaj	child	117479	1386	84.76118326118326	60.36263578307562	5	3.75	1.0	1.0
Abe	Kuczaj	child	117479	1386	84.76118326118326	60.36263578307562	6	2.6	1.0	1.0
Abe	Kuczaj	child	117479	1386	84.76118326118326	60.13265159448859	9	2.125	1.0	1.0
Abe	Kuczaj	child	117479	1386	84.76118326118326	60.13265159448859	4	2.3333333333333335	1.0	1.0
Abe	Kuczaj	child	117479	1386	84.76118326118326	60.13265159448859	4	2.3333333333333335	1.0	1.0
Abe	Kuczaj	child	117479	1386	84.76118326118326	60.36263578307562	6	3.2	1.0	1.0
Abe	Kuczaj	child	117479	1386	84.76118326118326	60.36263578307562	9	2.625	1.0	1.0
Abe	Kuczaj	child	117479	1386	84.76118326118326	60.13265159448859	12	4.2727272727272725	1.0	1.0
Abe	Kuczaj	child	117479	1386	84.76118326118326	60.36263578307562	4	2.0	1.0	1.0
Abe	Kuczaj	child	117479	1386	84.76118326118326	60.13265159448859	8	2.4285714285714284	1.0	1.0
Abe	Kuczaj	child	117479	1386	84.76118326118326	60.36263578307562	2	3.0	1.0	1.0
Abe	Kuczaj	child	117479	1386	84.76118326118326	60.13265159448859	5	2.25	1.0	1.0
Abe	Kuczaj	child	117479	1386	84.76118326118326	60.36263578307562	4	3.3333333333333335	1.0	1.0
Abe	Kuczaj	child	117479	1386	84.76118326118326	60.36263578307562	10	2.3333333333333335	1.0	0.8
Abe	Kuczaj	child	117479	1386	84.76118326118326	60.13265159448859	3	3.0	1.0	1.0
Abe	Kuczaj	child	117479	1386	84.76118326118326	60.13265159448859	5	2.25	1.0	1.0
Abe	Kuczaj	child	117479	1386	84.76118326118326	60.36263578307562	7	3.0	1.0	1.0
